timestamp,gpu_util,gpu_mem_ctrl_util,gpu_mem_used_MB,gpu_mem_util_pct,pcie_tx_MBps,pcie_rx_MBps,cpu_total_util,cpu_proc_util
1767162160.6846013,41,9,21558.5625,87.7648693209575,217.7734375,2476.953125,3.2,0.0
1767162160.8270352,41,9,21558.5625,87.7648693209575,428.564453125,3708.056640625,3.3,0.0
1767162160.969243,41,9,21558.5625,87.7648693209575,325.732421875,4924.12109375,3.2,7.0
1767162161.1114087,41,9,21558.5625,87.7648693209575,321.435546875,4008.154296875,3.3,0.0
1767162161.2536948,41,9,21558.5625,87.7648693209575,325.244140625,4937.353515625,3.7,0.0
1767162161.4165156,39,9,21558.5625,87.7648693209575,112.841796875,3694.140625,3.3,0.0
1767162161.5587342,39,9,21558.5625,87.7648693209575,371.19140625,3706.0546875,3.2,0.0
1767162161.700944,39,9,21558.5625,87.7648693209575,322.4609375,4930.56640625,3.1,7.0
1767162161.8432193,39,9,21558.5625,87.7648693209575,426.3671875,2479.052734375,3.2,0.0
1767162161.9853995,39,9,21558.5625,87.7648693209575,322.75390625,4938.134765625,3.2,0.0
1767162162.127692,39,9,21558.5625,87.7648693209575,7.666015625,3563.134765625,3.4,0.0
1767162162.2700703,39,9,21558.5625,87.7648693209575,386.767578125,3838.57421875,3.2,7.0
1767162162.4125106,34,7,21558.5625,87.7648693209575,322.216796875,4445.8984375,3.3,0.0
1767162162.5548694,34,7,21558.5625,87.7648693209575,321.484375,3705.46875,3.2,0.0
1767162162.6971536,34,7,21558.5625,87.7648693209575,323.681640625,4939.74609375,3.2,0.0
1767162162.8394725,34,7,21558.5625,87.7648693209575,112.890625,2472.216796875,3.4,0.0
1767162162.9816732,34,7,21558.5625,87.7648693209575,429.736328125,4936.376953125,3.2,7.0
1767162163.123931,34,7,21558.5625,87.7648693209575,320.556640625,3846.58203125,3.3,0.0
1767162163.2664113,34,7,21558.5625,87.7648693209575,321.875,3708.984375,3.1,0.0
1767162163.4087002,27,6,21558.5625,87.7648693209575,322.607421875,4933.251953125,3.3,0.0
1767162163.5509953,27,6,21558.5625,87.7648693209575,112.890625,2472.216796875,3.2,0.0
1767162163.6931615,27,6,21558.5625,87.7648693209575,430.37109375,4934.814453125,3.2,7.0
1767162163.8354905,27,6,21558.5625,87.7648693209575,322.607421875,3706.689453125,3.3,0.0
1767162163.977677,27,6,21558.5625,87.7648693209575,322.16796875,3705.615234375,3.2,0.0
1767162164.1199126,27,6,21558.5625,87.7648693209575,322.55859375,4936.572265625,3.4,0.0
1767162164.2621934,27,6,21558.5625,87.7648693209575,112.548828125,2473.486328125,3.2,0.0
1767162164.4043498,29,7,21558.5625,87.7648693209575,430.37109375,4932.91015625,3.5,0.0
1767162164.5466657,29,7,21558.5625,87.7648693209575,281.103515625,5098.681640625,3.3,7.0
1767162164.6889737,29,7,21558.5625,87.7648693209575,321.728515625,3710.05859375,3.2,0.0
1767162164.8313456,29,7,21558.5625,87.7648693209575,374.90234375,4141.6015625,3.3,0.0
1767162164.973764,29,7,21558.5625,87.7648693209575,113.037109375,2473.486328125,3.2,0.0
1767162165.1160054,29,7,21558.5625,87.7648693209575,428.955078125,4095.703125,3.3,7.0
1767162165.2584417,29,7,21558.5625,87.7648693209575,218.701171875,4917.919921875,3.2,0.0
1767162165.4005764,29,7,21558.5625,87.7648693209575,320.751953125,4924.462890625,3.3,7.0
1767162165.5428388,35,7,21558.5625,87.7648693209575,429.39453125,3702.001953125,3.3,0.0
1767162165.685117,35,7,21558.5625,87.7648693209575,504.736328125,38.916015625,3.2,0.0
1767162165.82751,35,7,21558.5625,87.7648693209575,428.076171875,3708.447265625,3.3,0.0
1767162165.9698334,35,7,21558.5625,87.7648693209575,429.150390625,3701.318359375,3.4,0.0
1767162166.1120095,35,7,21558.5625,87.7648693209575,427.978515625,3698.193359375,3.2,7.0
1767162166.2542741,35,7,21558.5625,87.7648693209575,426.513671875,2482.03125,3.5,0.0
1767162166.3965082,35,7,21558.5625,87.7648693209575,222.216796875,4922.998046875,3.5,0.0
1767162166.5388434,34,7,21558.5625,87.7648693209575,322.265625,3707.6171875,3.4,0.0
1767162166.6810417,34,7,21558.5625,87.7648693209575,428.41796875,3709.130859375,3.9,0.0
1767162166.8233464,34,7,21558.5625,87.7648693209575,217.138671875,3693.115234375,4.1,7.0
1767162166.9657602,34,7,21558.5625,87.7648693209575,417.3828125,2730.517578125,3.5,0.0
1767162167.1080253,34,7,21558.5625,87.7648693209575,322.021484375,3711.71875,3.3,0.0
1767162167.25027,34,7,21558.5625,87.7648693209575,440.771484375,4071.77734375,3.1,0.0
1767162167.39271,34,7,21558.5625,87.7648693209575,322.509765625,4929.8828125,3.3,0.0
1767162167.5349925,29,6,21558.5625,87.7648693209575,112.5,3695.068359375,3.5,7.0
1767162167.676947,29,6,21558.5625,87.7648693209575,324.755859375,4924.12109375,3.2,0.0
1767162167.8397036,29,6,21558.5625,87.7648693209575,325.244140625,4923.876953125,3.2,0.0
1767162167.9819822,29,6,21558.5625,87.7648693209575,318.75,3699.8046875,3.2,0.0
1767162168.1242366,29,6,21558.5625,87.7648693209575,394.873046875,4927.978515625,3.3,0.0
1767162168.2665086,29,6,21558.5625,87.7648693209575,216.748046875,3954.39453125,3.5,7.0
1767162168.4089468,27,7,21558.5625,87.7648693209575,323.14453125,2471.533203125,3.3,0.0
1767162168.5512583,27,7,21558.5625,87.7648693209575,218.603515625,4920.41015625,3.4,0.0
1767162168.6935246,27,7,21558.5625,87.7648693209575,228.369140625,4473.388671875,3.1,0.0
